token,letter
quantity,q
 chew,c
 window,w
 farina,f
 magistrate,m
 modernize,m
 almost,a
highest,h
 philosophy,p
 eleventh,e
bah,b
 impatient,i
 math,m
grab,g
 corollary,c
 successively,s
 corral,c
 enact,e
runner,r
 lantern,l
 betrayal,b
reactor,r
Gloria,G
 decimal,d
God,G
 fatty,f
 acute,a
title,t
crop,c
o,o
 complacency,c
 a,a
 sixteenth,s
 Bismarck,B
T,T
 woodland,w
 afford,a
 convention,c
 Oklahoma,O
 carrying,c
bravo,b
distribution,d
 grievous,g
 frigid,f
 guise,g
 jacket,j
fern,f
 Sara,S
times,t
 creepy,c
winding,w
 retraction,r
dear,d
muscle,m
 tenderness,t
 keystone,k
grow,g
 compact,c
 wound,w
 athletics,a
 dialing,d
 Angola,A
 dill,d
 chipping,c
specifically,s
 Armageddon,A
salad,s
hound,h
 strap,s
vary,v
 darkly,d
 intermediary,i
democracy,d
 listener,l
the,t
 resign,r
 driven,d
 connected,c
 x,x
Naomi,N
cage,c
deter,d
 verbally,v
 craftsmanship,c
 elegance,e
 alchemy,a
 Judy,J
 worked,w
 glorify,g
 vertex,v
 flower,f
 encouragement,e
 feat,f
 admirable,a
 subsist,s
six,s
 Wilfred,W
 ridiculous,r
consistency,c
 photograph,p
 lifelong,l
 outpatient,o
decide,d
 vamp,v
 practically,p
 memorabilia,m
 regional,r
 positioned,p
 bounded,b
regarding,r
 preponderance,p
 sewn,s
 Olson,O
Mosaic,M
 money,m
Beta,B
 posterity,p
caliber,c
justice,j
 midway,m
Concord,C
 Fin,F
 separating,s
 crash,c
 cleanly,c
lung,l
 intrinsically,i
mess,m
 Olympian,O
estimation,e
sic,s
 impervious,i
arching,a
 libertarian,l
 available,a
 reserved,r
 amazingly,a
sitting,s
 operational,o
 crushing,c
 guilty,g
 thousand,t
 embody,e
naught,n
 nymph,n
 tournament,t
 accommodate,a
 hold,h
 donkey,d
 sometimes,s
argon,a
slot,s
 generation,g
Judy,J
 titanic,t
 messing,m
 nervous,n
easter,e
permanent,p
acknowledge,a
 unfinished,u
 watch,w
 Ah,A
intake,i
 pomp,p
unsupported,u
 statutory,s
decay,d
bedded,b
gist,g
outdoor,o
 wright,w
scattering,s
 resurrection,r
 waking,w
 sleepy,s
 concede,c
 identical,i
travel,t
 steep,s
 carefree,c
smoothing,s
 procure,p
 intent,i
 devastation,d
zone,z
 swap,s
 encyclopedia,e
 compensatory,c
 querying,q
 merge,m
 interplay,i
 observatory,o
 kill,k
 Prudence,P
 edifice,e
 story,s
 Rudy,R
 telling,t
county,c
 organize,o
 patchwork,p
 miro,m
 Allah,A
 rigidity,r
 Lutheran,L
chemistry,c
 species,s
 voyager,v
Gary,G
 side,s
mac,m
 Borneo,B
 furnished,f
 Alvin,A
 taxi,t
